ip,common_name,organization,country,locality,province,sandns,sanip,selfsigned
"15.205.55.237","scanoss.eagleeye.apps.cdl.af.mil","U.S. Government","US","","","*.eagleeye.apps.cdl.af.mil|scanoss.eagleeye.apps.cdl.af.mil","","false"
"15.205.58.48","conit.conit-dev.aws.cdl.af.mil","AF","US","Wright-Patterson","Ohio","","","true"
"15.205.73.105","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.92.31","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"15.205.94.84","*.apps.dev26.minerva.navy.mil","","","","","*.apps.dev26.minerva.navy.mil|apps.dev26.minerva.navy.mil","","false"
"15.205.100.252","apps.cdl.af.mil","U.S. Government","US","","","*.apps.cdl.af.mil|apps.cdl.af.mil","","false"
"15.205.105.217","interact.test.josce.mil","U.S. Government","US","","","bbb2.interact.test.josce.mil|bbb1.interact.test.josce.mil|turn.interact.test.josce.mil|interact.test.josce.mil","","false"
"15.205.106.23","eodims.af.mil","U.S. Government","US","","","search.eodims.af.mil|weat.eodims.af.mil|tearaway.eodims.af.mil|training.eodims.af.mil|reports.eodims.af.mil|mobile.eodims.af.mil|kms.eodims.af.mil|geoblast.eodims.af.mil|maps.eodims.af.mil|analytics.eodims.af.mil|jst.eodims.af.mil|email.eodims.af.mil|interfaces.eodims.af.mil|gateway.eodims.af.mil|core.eodims.af.mil|staging.eodims.af.mil|eodims.af.mil","","false"
"15.205.107.110","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"15.205.107.243","mission-test.odin.dso.mil","U.S. Government","US","","","*.admin.mission-test.odin.dso.mil|*.mission-test.odin.dso.mil|mission-test.odin.dso.mil","","false"
"15.205.110.175","nasic.af.mil","U.S. Government","US","","","*.midgard.nasic.af.mil|*.nasic.af.mil|nasic.af.mil","","false"
"15.205.112.54","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.118.141","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.139.141","*.lmoc.af.mil","United States Air Force","US","Hill AFB","Utah","*.lmoc.af.mil|lmoc.af.mil","","false"
"15.205.160.79","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.163.136","eis.army.mil","","","","","eis.army.mil|www.eis.army.mil","","false"
"15.205.165.21","jenkins.cdl.af.mil","U.S. Government","US","","","jenkins.cdl.af.mil|checkmarx.cdl.af.mil|sonar.cdl.af.mil|artifactory.cdl.af.mil|limesurvey.cdl.af.mil","","false"
"15.205.166.212","www.nsic.mil","","","","","www.nsic.mil|nsic.mil","","false"
"15.205.166.248","gdt.arc.cprobe.army.mil","U.S. Government","US","","","gdt.arc.cprobe.army.mil|tableau.gdt.arc.cprobe.army.mil|tableau-t.gdt.arc.cprobe.army.mil|remote.gdt.arc.cprobe.army.mil|certauth.gdt.arc.cprobe.army.mil|sso.gdt.arc.cprobe.army.mil|ndev.gdt.arc.cprobe.army.mil|sdev.gdt.arc.cprobe.army.mil|ntst.gdt.arc.cprobe.army.mil|stst.gdt.arc.cprobe.army.mil|mgmt.cac.gdt.arc.cprobe.army.mil|ndev.cac.gdt.arc.cprobe.army.mil|sdev.cac.gdt.arc.cprobe.army.mil|ntst.cac.gdt.arc.cprobe.army.mil|stst.cac.gdt.arc.cprobe.army.mil|mgmt.noc.gdt.arc.cprobe.army.mil|ndev.noc.gdt.arc.cprobe.army.mil|sdev.noc.gdt.arc.cprobe.army.mil|ntst.noc.gdt.arc.cprobe.army.mil|stst.noc.gdt.arc.cprobe.army.mil|ds.ndev.cac.gdt.arc.cprobe.army.mil|ds.ntst.cac.gdt.arc.cprobe.army.mil|armyps.gdt.arc.cprobe.army.mil|rsw.gdt.arc.cprobe.army.mil|rspm.gdt.arc.cprobe.army.mil|rsc.gdt.arc.cprobe.army.mil|rsc-t.gdt.arc.cprobe.army.mil|jenkins.gdt.arc.cprobe.army.mil|nexus.gdt.arc.cprobe.army.mil|jicap.gdt.arc.cprobe.army.mil|jicap-t.gdt.arc.cprobe.army.mil","","false"
"15.205.167.211","*.highbond.mil","","","","","*.highbond.mil|highbond.mil","","false"
"15.205.178.233","mission-test.odin.dso.mil","U.S. Government","US","","","*.admin.mission-test.odin.dso.mil|*.mission-test.odin.dso.mil|mission-test.odin.dso.mil","","false"
"15.205.181.240","*.dev.jcn.jaic.mil","U.S. Government","US","","","*.dev.jcn.jaic.mil","","false"
"15.205.183.88","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.184.24","scanoss.eagleeye.apps.cdl.af.mil","U.S. Government","US","","","*.eagleeye.apps.cdl.af.mil|scanoss.eagleeye.apps.cdl.af.mil","","false"
"15.205.185.62","gigeagle.mil","","","","","gigeagle.mil|www.gigeagle.mil","","false"
"15.205.186.54","apps.cdl.af.mil","U.S. Government","US","","","*.apps.cdl.af.mil|apps.cdl.af.mil","","false"
"15.205.187.15","apps.cdl.af.mil","U.S. Government","US","","","*.apps.cdl.af.mil|apps.cdl.af.mil","","false"
"15.205.189.2","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"15.205.224.144","dev.eis.army.mil","","","","","dev.eis.army.mil|www.dev.eis.army.mil","","false"
"15.205.230.75","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
"15.205.231.242","scanoss.eagleeye.apps.cdl.af.mil","U.S. Government","US","","","*.eagleeye.apps.cdl.af.mil|scanoss.eagleeye.apps.cdl.af.mil","","false"
"15.205.236.93","*.odin.dso.mil","USAF","US","Rome","New York","*.odin.dso.mil|odin.dso.mil|*.admin.odin.dso.mil|*.npe.odin.dso.mil","","false"
